レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010301,2026.8.1,土,札幌,1札3,1,,未勝利,ダート,1000,,2,稍(暫定),曇(暫定),12,10:00,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,サンライズロイ,,牡,3,3,7,12,函館,D,1000,不,3,4,未勝利,35.6,先行,3,6,20,阪神,D,1200,稍,4,6,未勝利,37.3,先行,4,5,23,新潟,D,1200,稍,5,3,未勝利,37.9,中団,3,5,2,京都,D,1200,重,4,5,未勝利,36.2,先行,2,4,18,福島,D,1150,良,2,8,未勝利,36.6,先行,8
2,B,2,,,,,アルデバローズ,,牝,3,6,6,20,東京,D,1400,不,7,8,未勝利・牝,38.1,逃げ,連,6,13,東京,D,1400,重,4,11,未勝利,37.8,逃げ,4,5,16,東京,T,1400,良,11,8,未勝利,35.0,中団,17,1,18,中山,D,1800,良,8,6,未勝利・牝,43.6,先行,12,10,26,東京,D,1400,不,11,2,未勝利*,38.1,後方,連
3,,3,,,,,ナブッコ,,牡,3,3,7,12,小倉,D,1000,良,3,7,未勝利,36.0,差し,8,5,20,名古,D,1500,良,4,1,名古屋,----,逃げ,4,4,19,阪神,D,1400,良,6,3,未勝利,38.3,先行,3,3,29,阪神,D,1400,良,2,4,未勝利,38.8,先行,6,2,14,京都,D,1400,稍,9,10,未勝利,38.1,後方,2
4,,4,,,,,ペイシャクロス,,牝,3,2,7,18,函館,D,1000,良,3,9,未勝利・牝,36.6,差し,2,7,5,函館,D,1000,良,8,6,未勝利,37.6,先行,6,5,24,東京,D,1300,稍,15,12,未勝利,40.7,先行,4,4,26,福島,D,1150,良,7,10,未勝利・牝,38.3,中団,初,,,,,,,,,,,,
5,,5,,,,,フェアリーキャット,,牝,3,9,5,30,東京,D,1400,良,6,12,未勝利,37.7,逃げ,2,5,16,新潟,D,1200,良,7,9,未勝利,39.6,先行,15,2,1,東京,T,1600,良,14,16,新馬,35.3,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,6,,,,,ヒューザー,,牡,3,3,7,12,函館,D,1000,不,5,9,未勝利,35.7,中団,4,6,14,函館,D,1000,良,5,8,未勝利,36.0,先行,9,4,11,福島,D,1150,良,8,13,未勝利,36.8,後方,13,1,12,京都,T,1400,良,18,18,未勝利,38.6,中団,18,9,6,阪神,D,1400,稍,13,6,新馬,47.8,後方,初
6,,7,,,,,ドリームガッサン,,牝,3,2,7,18,函館,D,1000,良,2,1,未勝利・牝,36.8,差し,3,6,27,函館,D,1000,不,3,3,未勝利・牝,35.5,先行,7,5,10,新潟,D,1200,良,6,2,未勝利,38.6,先行,2,4,26,福島,D,1150,良,2,5,未勝利・牝,36.9,先行,8,2,28,中山,D,1200,重,7,6,未勝利,37.7,先行,8
6,,8,,,,,アトラップモア,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,,,,,コシタンタン,,牝,3,2,7,18,函館,D,1000,良,4,6,未勝利・牝,37.4,先行,3,6,28,函館,D,1000,稍,6,8,未勝利,36.7,先行,2,6,14,函館,T,1200,良,9,8,未勝利,34.7,中団,19,2,1,小倉,T,1200,良,6,8,新馬,35.1,先行,初,,,,,,,,,,,,
7,B,10,,,,,サンタクローチェ,,牝,3,5,6,27,函館,D,1000,不,7,9,未勝利・牝,35.4,中団,11,4,11,福島,T,1200,良,10,5,未勝利,35.6,中団,18,12,6,中京,D,1400,良,16,9,未勝利・牝*,41.4,逃げ,7,10,19,京都,D,1400,稍,9,3,未勝利・牝*,41.0,中団,連,10,12,京都,D,1400,良,12,5,未勝利・牝*,42.0,先行,4
8,,11,,,,,ジャーナーリア,,牡,3,2,7,19,函館,D,1000,不,2,1,未勝利,35.8,先行,3,6,28,函館,D,1000,稍,消,--,未勝利,----,,2,6,13,函館,T,1200,稍,5,2,未勝利,35.1,先行,3,5,23,新潟,D,1200,稍,3,1,未勝利,38.4,逃げ,2,5,9,京都,D,1400,良,2,4,未勝利,37.8,先行,5
8,,12,,,,,ペルヴォルム,,牝,3,23,2,22,小倉,D,1700,良,11,11,未勝利・牝,42.7,後方,2,2,7,小倉,D,1000,良,12,14,未勝利,37.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026080101010302,2026.8.1,土,札幌,1札3,2,,未勝利,芝,1800,A,4,稍(暫定),曇(暫定),14,10:30,,馬齢,２歳
