レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026061302010101,2026.6.13,土,函館,1函1,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,10:05,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,ヒャクレツケン,,牡,3,10,4,5,中山,D,1800,不,15,9,未勝利,42.0,後方,3,3,15,中京,D,1400,良,10,11,未勝利,38.8,中団,2,2,28,小倉,T,1200,稍,14,8,未勝利,35.5,後方,連,2,22,小倉,T,1200,良,5,15,未勝利,35.0,中団,3,2,1,京都,D,1200,良,5,12,未勝利,37.6,中団,2
1,,2,,,,,テリオスルミ,,牝,3,16,2,21,小倉,T,1200,良,6,10,未勝利・牝,36.0,逃げ,11,12,6,中京,T,1200,良,10,17,未勝利*,35.3,逃げ,3,11,16,東京,T,1400,良,13,9,未勝利・牝*,36.3,先行,14,8,9,札幌,T,1800,稍,11,7,新馬,41.2,逃げ,初,,,,,,,,,,,,
2,,3,,,,,ティスマイル,,牝,3,9,4,11,福島,T,1200,良,9,16,未勝利,35.0,後方,14,1,4,中山,D,1200,稍,14,8,新馬,39.7,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,4,,,,,スタンダールロマン,,牝,3,13,3,14,中山,T,1600,良,13,8,未勝利,37.0,逃げ,17,11,15,東京,T,1600,良,7,9,新馬・牝,34.6,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,ジャーナーリア,,牡,3,3,5,23,新潟,D,1200,稍,3,1,未勝利,38.4,逃げ,2,5,9,京都,D,1400,良,2,4,未勝利,37.8,先行,5,4,4,阪神,D,1400,稍,3,3,未勝利,37.5,先行,3,3,14,阪神,D,1400,良,4,1,未勝利,38.4,逃げ,3,2,21,阪神,D,1400,良,2,4,未勝利,37.0,先行,2
3,,6,,,,,コスモファーブロス,,牝,3,3,5,23,京都,T,1200,良,4,7,未勝利,33.5,追込,4,4,26,京都,T,1200,良,3,7,未勝利,34.0,差し,8,2,28,小倉,T,1200,稍,6,5,未勝利,36.4,先行,3,2,7,小倉,T,1200,良,3,8,未勝利,35.7,先行,6,12,28,阪神,T,1400,良,9,6,未勝利*,36.1,先行,3
4,,7,,,,,アルサック,,牝,3,15,3,1,小倉,D,1000,稍,5,2,未勝利,37.0,先行,連,2,21,阪神,D,1200,良,2,1,未勝利・牝,38.2,先行,2,2,10,京都,D,1200,良,6,3,未勝利,39.0,逃げ,2,1,24,小倉,D,1000,良,6,2,未勝利,36.9,先行,9,11,24,福島,D,1150,良,3,4,未勝利*,38.4,逃げ,2
4,,8,,,,,シーシェル,,牝,3,13,3,14,中山,D,1200,良,7,8,未勝利,38.9,先行,7,1,24,中山,D,1200,良,4,9,新馬,38.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,ニシノマーレ,,牝,3,3,5,23,新潟,T,1400,稍,4,4,未勝利,35.9,逃げ,4,4,25,東京,T,1400,良,4,6,未勝利,34.6,逃げ,14,1,18,中山,T,1600,良,6,8,未勝利・牝,36.1,逃げ,2,1,4,中山,T,1600,良,4,4,未勝利,35.6,先行,4,12,6,中山,T,1600,良,4,3,未勝利*,34.1,先行,4
5,,10,,,,,ディーズメンフィス,,牝,3,8,4,19,中山,D,1200,良,8,5,未勝利,38.4,先行,7,2,28,中山,D,1200,重,6,6,未勝利・牝,37.8,先行,27,8,23,札幌,T,1500,稍,4,8,新馬,37.2,ﾏｸﾘ,初,,,,,,,,,,,,,,,,,,,,,,,,
6,,11,,,,,ハナイロマヒナ,,牝,3,19,1,31,小倉,T,1200,良,13,5,未勝利・若,35.3,中団,7,12,13,阪神,T,1200,良,5,2,未勝利*,34.9,中団,3,11,22,京都,T,1200,良,4,9,未勝利*,34.3,差し,10,9,13,阪神,T,1200,良,4,11,新馬,35.7,先行,初,,,,,,,,,,,,
6,,12,,,,,デルマハルナ,,牝,3,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
