レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062702010501,2026.6.27,土,函館,1函5,1,,未勝利,芝,1200,A,2,稍(暫定),雨(暫定),16,09:50,,馬齢,３歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,B,1,,,,,ビアーレ,,牝,3,9,4,26,福島,T,1200,良,5,10,未勝利・牝,34.3,先行,13,1,24,中山,D,1200,良,11,9,未勝利・牝,39.6,先行,9,11,24,東京,T,1600,良,9,7,新馬・牝,35.1,先行,初,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,,,,,アルサック,,牝,3,2,6,13,函館,T,1200,稍,2,4,未勝利,34.4,先行,15,3,1,小倉,D,1000,稍,5,2,未勝利,37.0,先行,連,2,21,阪神,D,1200,良,2,1,未勝利・牝,38.2,先行,2,2,10,京都,D,1200,良,6,3,未勝利,39.0,逃げ,2,1,24,小倉,D,1000,良,6,2,未勝利,36.9,先行,9
2,,3,,,,,フォークスアップ,,牡,3,9,4,26,福島,T,1200,良,14,13,未勝利,34.6,後方,9,2,21,東京,T,1600,良,10,15,未勝利,35.0,中団,14,11,16,東京,D,1400,良,15,14,未勝利*,38.4,後方,2,11,2,東京,D,1400,重,12,12,未勝利*,38.0,中団,8,9,6,中山,T,1200,良,8,12,新馬,35.1,中団,初
2,,4,,,,,グリニッジローズ,,牝,3,15,3,14,中京,D,1200,良,13,12,未勝利,39.6,中団,3,2,22,東京,D,1400,良,16,9,新馬,45.8,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,,,,,エフティヴェント,,牡,3,11,4,11,中山,D,1200,重,16,9,未勝利,40.4,中団,3,3,22,中京,T,1600,良,12,10,未勝利,35.6,中団,10,1,10,中山,T,1600,良,7,12,未勝利,34.4,中団,11,10,26,東京,T,1600,稍,4,7,未勝利*,35.0,差し,3,10,4,東京,T,1400,良,7,11,新馬,34.4,先行,初
3,,6,,,,,リネアベルタ,,牝,3,9,4,26,京都,T,1200,良,6,8,未勝利,33.9,中団,9,2,21,阪神,D,1200,良,9,3,未勝利・牝,39.4,逃げ,3,1,31,小倉,T,1200,良,6,2,未勝利・若,34.9,先行,7,12,13,阪神,T,1200,良,3,10,未勝利*,34.1,追込,2,11,30,京都,T,1200,良,7,5,新馬,35.3,中団,初
4,,7,,,,,フリーダムスタイル,,牝,3,2,6,14,函館,T,1200,良,4,9,未勝利,34.6,差し,13,3,15,中京,T,1400,良,15,11,未勝利,36.9,先行,21,10,19,京都,T,1400,良,5,12,新馬,34.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
4,,8,,,,,スノーガーネット,,牝,3,14,3,21,中京,D,1200,良,8,11,未勝利・牝,38.6,先行,17,11,22,京都,D,1200,良,7,5,未勝利・牝*,37.2,先行,4,10,25,京都,D,1400,良,11,11,新馬・牝,40.0,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,
5,,9,,,,,レースクイーン,,牝,3,14,3,19,浦和,D,1400,良,5,3,ツイン,----,中団,7,1,31,東京,D,1400,良,8,9,未勝利・牝,38.8,中団,4,1,4,中山,D,1200,稍,4,14,未勝利・牝,39.4,差し,12,10,11,東京,T,1600,良,9,10,未勝利・牝*,35.8,先行,17,6,14,東京,T,1600,良,7,8,新馬・牝,35.7,後方,初
5,,10,,,,,ニシノオールワン,,牝,3,2,6,14,函館,T,1200,良,3,2,未勝利,35.0,逃げ,11,3,29,中京,T,1200,良,4,8,未勝利,34.2,差し,13,12,28,中山,T,1200,良,9,6,未勝利*,35.0,後方,21,8,3,札幌,D,1000,良,10,3,未勝利*,38.2,先行,5,6,28,函館,T,1200,稍,8,1,新馬,36.7,逃げ,初
6,,11,,,,,サンアイディール,,牝,3,9,4,26,京都,T,1200,良,11,10,未勝利,34.7,中団,8,3,1,小倉,T,1200,良,7,17,未勝利,35.2,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,12,,,,,ラブソング,,牝,3,9,4,26,福島,T,1200,良,8,10,未勝利,34.2,後方,10,2,15,小倉,T,1200,稍,16,12,未勝利,35.8,後方,2,1,31,小倉,T,1200,良,5,15,未勝利・若,34.5,中団,12,11,9,東京,T,1400,良,13,12,未勝利*,35.0,後方,3,10,18,新潟,T,1200,良,14,13,未勝利*,35.2,後方,5
