レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026070502010801,2026.7.5,日,函館,1函8,1,,未勝利,芝,1200,A,2,良(暫定),晴(暫定),16,09:50,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,アイルドフルール,,牝,2,連,6,28,函館,T,1200,良,6,6,未勝利*,35.9,中団,2,6,13,函館,T,1200,稍,8,6,新馬,35.3,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,キチロクタワー,,牡,2,2,6,21,函館,T,1200,良,3,9,新馬,34.7,追込,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,マナベラ,,牝,2,連,6,27,函館,T,1200,稍,5,6,新馬,35.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ライーリーアース,,牝,2,連,6,27,函館,T,1200,稍,4,7,新馬,35.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,クリアストライク,,牡,2,2,6,21,函館,T,1200,良,4,2,新馬,35.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,コックニー,,牡,2,2,6,21,函館,T,1200,良,2,1,新馬,34.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,チカバリエンテ,,牝,2,連,6,28,函館,T,1200,良,2,5,未勝利*,34.9,差し,連,6,20,函館,T,1200,良,4,6,新馬・牝,33.8,追込,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,リアルジャパン,,牡,2,2,6,21,函館,T,1200,良,8,6,新馬,35.5,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,レインボースター,,牝,2,2,6,21,函館,T,1200,良,6,5,新馬,35.1,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
