レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040501,2026.9.19,土,中山,4中5,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
枠番,B,番,印,M2,M3,M4,馬名S,Ｃ,性別,年齢,間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･1走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･2走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･3走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･4走前,上り3F,決手,前走間隔,月,日,場所,TD,距離,馬場状態,着順,人気,ﾚｰｽ名･5走前,上り3F,決手,前走間隔
1,,1,,,,,サリードゥ,,牝,2,9,7,18,福島,T,1200,良,6,1,未勝利*,36.3,先行,3,6,28,福島,T,1200,良,2,2,新馬・牝,34.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,,,,,ジンクピリチオン,,牡,2,11,7,5,福島,T,1200,良,8,8,新馬,37.9,逃げ,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,,,,,ポッドエステラ,,牡,2,14,6,14,東京,D,1400,稍,10,14,新馬,40.7,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,,,,,ソナタテソーロ,,牝,2,2,9,6,中山,T,1200,稍,12,10,未勝利*,36.4,先行,12,6,14,東京,T,1600,良,8,8,新馬,35.9,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,,,,,ルスデルカミーノ,,牡,2,2,9,5,中山,D,1200,重,4,5,新馬,39.7,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,,,,,カシノカゲマル,,セ,2,10,7,11,小倉,T,1200,良,12,12,未勝利*,37.5,後方,連,7,5,小倉,T,1200,重,15,14,未勝利・九*,38.4,中団,連,6,28,小倉,T,1200,良,7,11,新馬・九,35.6,中団,初,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,,,,,カンタベリートップ,,牝,2,2,9,5,中山,D,1200,重,11,11,新馬,38.4,中団,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,8,,,,,マリノフスキー,,牡,2,2,9,5,中山,D,1200,重,14,14,新馬,38.0,後方,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,,,,,スマートブライド,,牝,2,6,8,8,新潟,D,1200,良,2,2,新馬,37.2,先行,初,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
