レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026062702010501,2026.6.27,土,函館,1函5,1,,未勝利,芝,1200,A,2,稍(暫定),雨(暫定),16,09:50,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,ビアーレ,牝,3,9,26.7, ,104,7,52,▲,*,小林美駒,(美),林徹,ミスチヴィアスアレックス,カンパニー,,ナスルーラ系,4,26,1福6,13,未勝利・牝,芝,1200,良,B,鷲頭,53.0,△,10,63.6,5,0.3,5,,,5,3,35.20,34.3,8,カレンデュラ
1,,2,アルサック,牝,3,1,3.5, ,120,1,55,,,丹内祐次,(栗),柴田卓,シルバーステート,キングカメハメハ,,ネイティヴダンサー系,6,13,1函1,15,未勝利,芝,1200,稍,,丹内,55.0,,4,7.4,2,0.2,8,,,3,2,34.30,34.4,3,ディーズメンフィス
2,,3,フォークスアップ,牡,3,16,203.9, , 83,16,57,,*,古川吉洋,(美),勢司和浩,タワーオブロンドン,Shamardal,,ニアークティック系,4,26,1福6,9,未勝利,芝,1200,良,B,武藤,57.0,,13,259.1,14,1.0,16,,,14,13,35.80,34.6,5,ララアルカー
2,,4,グリニッジローズ,牝,3,10,31.4, , 91,13,52,▲,,大久保友,(美),田中剛,タワーオブロンドン,モーリス,,,3,14,1名1,3,未勝利,ダ,1200,良,,大久,52.0,▲,12,44.5,13,2.6,16,,,6,7,36.20,39.6,15,ゴーゴーパンチ
3,,5,エフティヴェント,牡,3,12,63.3, , 91,13,57,,*,佐々木大,(美),金成貴史,ミッキーアイル,ルーラーシップ,,ネイティヴダンサー系,4,11,3中5,3,未勝利,ダ,1200,重,,伊藤,57.0,,9,48.1,16,3.9,6,,,6,8,34.40,40.4,16,ラベンダーヘイズ
3,,6,リネアベルタ,牝,3,3,5.3, ,105,5,55,,,岩田康誠,(栗),宮地貴稔,イスラボニータ,ジャングルポケット,,ナスルーラ系,4,26,3京2,9,未勝利,芝,1200,良,,岩田,55.0,,8,34.6,6,0.6,13,,,8,8,34.20,33.9,5,タナスーペルノーバ
4,,7,フリーダムスタイル,牝,3,6,18.9, ,104,7,55,,*,横山和生,(栗),森田直行,ダノンスマッシュ,ディープインパクト,,ロイヤルチャージャー系,6,14,1函2,13,未勝利,芝,1200,良,,吉田,55.0,,9,22.5,4,0.4,12,,,7,7,34.30,34.6,5,カガラプンツェル
4,,8,スノーガーネット,牝,3,8,23.3, ,100,10,55,,*,横山琉人,(栗),中尾秀正,フィレンツェファイア,アドマイヤムーン,,ネイティヴダンサー系,3,21,1名3,17,未勝利・牝,ダ,1200,良,,富田,55.0,,11,57.0,8,1.3,9,,,5,4,35.90,38.6,9,ヴェルジーネ
5,,9,レースクイーン,牝,3,11,53.8, , 98,11,52,▲,*,遠藤汰月,(美),蛯名利弘,フィレンツェファイア,ディープインパクト,,ロイヤルチャージャー系,3,19,浦和,7,ツイン,ダ,1400,良,,丹内,54.0,,3,,5,0.9,,5,5,6,6,,----,,パリスフォンテン
