レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011106010401,2026.1.11,日,中山,1中4,1,,未勝利,ダート,1200,,2,良,曇,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,B,1,アレキサンダーサン,牡,3,462,+ 8,+ 8,15,258.2, , 89,14,54,▲,*,上里直汰,(美),伊坂重信,エスケンデレヤ,スマートファルコン,,ロイヤルチャージャー系,10,19,4東7,連,未勝利*,ダ,1400,良,,丸田,56.0,,10,160.6,12,3.2,11,,,12,12,38.10,38.7,6,リフレックス
1,,2,ガクエンテンゴク,牡,3,528,+ 2,+ 2,6,16.9, ,100,7,57,,,野中悠太,(美),根本康広,アメリカンペイトリオット,シンボリクリスエス,,ロイヤルチャージャー系,12,21,5中6,初,新馬,ダ,1200,重,,野中,56.0,,15,155.6,4,0.5,9,,,7,5,35.30,37.5,4,ファンシーズ
2,,3,ケンブリッジルプス,牡,3,488,  0,0,16,440.6, , 80,16,57,,*,岩部純二,(美),萱野浩二,ミッキーグローリー,ジャングルポケット,,ナスルーラ系,11,30,5東8,初,新馬,ダ,1600,良,,長浜,54.0,△,16,235.2,16,11.0,15,,,16,16,41.34,41.4,15,エジプシャンマウ
2,,4,アンプイットアップ,牡,3,500,+12,+12,1,2.6, ,107,3,57,,,丹内祐次,(美),岩戸孝樹,ディスクリートキャット,ハードスパン,,,10,5,4東2,3,未勝利*,ダ,1400,良,,丹内,56.0,,1,3.1,12,3.7,1,,,4,3,36.30,40.4,14,エコロシード
3,,5,タイキプレジール,牡,3,490,- 4,- 4,5,16.4, ,103,5,57,,,石橋脩,(美),矢野英一,ダノンプレミアム,タイキシャトル,,ロイヤルチャージャー系,12,7,5中2,2,未勝利*,ダ,1200,良,,石橋,56.0,,3,5.7,7,1.0,2,,,6,6,34.60,39.3,9,ドナソール
3,,6,ゼファーテソーロ,牡,3,486,- 2,- 2,2,3.4, ,121,2,57,,*,戸崎圭太,(美),栗田徹,モズアスコット,ダイワメジャー,,ロイヤルチャージャー系,12,14,5中4,初,新馬,ダ,1200,稍,,丹内,56.0,,1,3.2,3,0.2,1,,,2,2,35.70,37.7,4,ルクスポップスター
4,,7,キッショウダラニ,牡,3,434,  0,0,3,3.8, ,124,1,57,,,木幡巧也,(美),牧光二,リオンディーズ,サクラバクシンオー,,ナスルーラ系,12,28,5中8,3,未勝利*,芝,1200,良,,木幡,56.0,,2,3.7,2,0.1,11,,,1,1,33.70,35.5,8,ニシノセイドウ
4,,8,サンマルフォース,牡,3,468,  0,0,10,121.4, , 91,12,57,,*,大野拓弥,(美),和田勇介,フォーウィールドライブ,ロードカナロア,,,10,19,4東7,連,未勝利*,ダ,1400,良,,岩部,56.0,,9,73.3,11,3.0,6,,,10,10,37.43,39.4,11,リフレックス
5,,9,マインセーラ,牝,3,436,  0,0,13,202.3, , 95,10,55,,,柴田大知,(美),的場均,アポロケンタッキー,スクリーンヒーロー,,ロイヤルチャージャー系,12,14,5中4,3,未勝利*,ダ,1200,稍,,柴田,55.0,,11,194.5,7,0.8,14,,,10,10,35.50,38.2,3,ヴェネチアンキング
5,,10,ショウナンタヅナ,牡,3,466,- 2,- 2,4,11.3, , 96,9,57,,,荻野極,(美),武市康男,ドレフォン,フジキセキ,,ロイヤルチャージャー系,12,13,5中3,3,未勝利*,芝,1600,良,,荻野,56.0,,12,185.8,9,1.3,8,,4,4,4,35.58,35.8,13,バルボアパーク
6,,11,トウシンライオット,牡,3,514,  0,0,11,124.7, ,101,6,54,▲,*,舟山瑠泉,(美),尾形和幸,フィレンツェファイア,ハーツクライ,,ロイヤルチャージャー系,12,14,5中4,10,未勝利*,ダ,1200,稍,,小林,53.0,▲,4,19.2,11,2.1,5,,,15,14,37.20,37.8,2,ヴェネチアンキング
6,,12,ユキノサイエンス,牝,3,402,- 4,- 4,7,31.7, ,100,7,55,,*,北村宏司,(美),小野次郎,ノヴェリスト,ブラックタイド,その他のエクリプス系,ロイヤルチャージャー系,11,9,3福2,8,未勝利*,芝,1200,良,,角田,55.0,,8,24.8,6,0.6,13,,,8,7,34.60,35.4,6,アンジュプロミス
7,,13,サリーアン,牡,3,464,+ 8,+ 8,12,151.6, , 94,11,57,,*,黛弘人,(美),鈴木伸尋,ダノンプレミアム,ヘニーヒューズ,,,10,25,4東8,初,新馬,ダ,1400,稍,,石川,56.0,,8,35.2,12,1.7,4,,,10,10,37.80,38.2,11,ジャレッド
7,,14,スラッシュコード,牡,3,468,  0,0,8,33.0, ,105,4,54,▲,*,佐藤翔馬,(美),伊藤圭三,ミスターメロディ,カジノドライヴ,,ナスルーラ系,12,21,5中6,5,未勝利*,ダ,1200,不,,丹内,56.0,,7,13.1,6,1.7,1,,,5,5,34.80,38.2,9,ホウオウヘッセン
8,,15,モーニングダリア,牝,3,416,  0,0,9,110.4, , 90,13,51,★,*,谷原柚希,(美),土田稔,ミスチヴィアスアレックス,ハーツクライ,,ロイヤルチャージャー系,12,14,5中4,15,未勝利*,芝,1200,良,,水沼,52.0,▲,15,501.8,10,1.1,9,,,10,8,35.30,35.9,7,ニルマーネル
8,,16,タマリスペクト,牡,3,448,+ 2,+ 2,14,245.2, , 86,15,57,,,横山琉人,(美),相沢郁,カリフォルニアクローム,タイキシャトル,,ロイヤルチャージャー系,12,6,5中1,14,未勝利*,ダ,1200,良,,横山,56.0,,14,442.0,13,3.4,15,,,14,14,37.00,38.6,7,ビップムーラン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011106010402,2026.1.11,日,中山,1中4,2,,未勝利,ダート,1800,,4,良,曇,16,10:35,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シシリアンキッス,牝,3,446,+12,+12,13,285.3, , 88,14,55,,*,菊沢一樹,(美),佐藤吉勝,イスラボニータ,ヴィクトワールピサ,,ロイヤルチャージャー系,10,5,4東2,3,未勝利*,芝,1400,良,,今村,53.0,◇,9,20.0,17,1.8,11,,,16,17,36.60,34.6,10,フェーダーローター
1,B,2,ニケフェリーチェ,牝,3,452,+ 4,+ 4,15,366.1, , 89,12,55,,,柴田大知,(美),菊川正達,アジアエクスプレス,クロフネ,,ニアークティック系,12,27,5中7,15,未勝利*,ダ,1200,稍,B,柴田,55.0,,13,188.7,11,2.3,16,,,14,14,35.60,38.4,8,パータリプトラ
2,,3,プレイメイカー,牝,3,458,- 6,- 6,5,13.7, ,107,4,55,,,横山武史,(美),栗田徹,ベンバトル,ダイワメジャー,,ロイヤルチャージャー系,11,15,5東3,3,未勝利*,芝,1600,良,,横山,55.0,,6,20.1,8,0.6,3,,,3,4,36.48,34.7,13,スペルーチェ
2,,4,アイアンパイク,牝,3,458,- 2,- 2,1,2.7, ,119,1,55,,,横山典弘,(美),村田一誠,ヘンリーバローズ,フレンチデピュティ,,ニアークティック系,12,20,5中5,初,新馬・牝,芝,1800,良,,横山,55.0,,3,7.8,2,0.0,14,3,3,3,3,37.55,34.8,1,リュクスパトロール
3,,5,トリエンナーレ,牝,3,416,- 8,- 8,8,38.7, , 98,7,55,,*,荻野極,(美),森一誠,マインドユアビスケッツ,クロフネ,,ニアークティック系,11,16,5東4,初,新馬,ダ,1600,良,,佐々,55.0,,9,49.2,7,0.8,2,,,2,3,38.34,37.4,8,アジアントレジャー
3,,6,アッシズオブローズ,牝,3,472,+10,+10,2,3.6, ,111,3,55,,,ルメール,(美),尾関知人,アドマイヤマーズ,ルーラーシップ,,ネイティヴダンサー系,10,25,4東8,11,未勝利*,芝,1800,良,,ルメ,55.0,,2,2.1,4,0.3,1,,8,8,7,37.50,33.9,1,ノーウェアマン
4,,7,プリンセスダーコ,牝,3,470,- 4,- 4,6,27.8, ,106,5,55,,*,原優介,(美),清水英克,マクフィ,ディープインパクト,,ロイヤルチャージャー系,12,28,5中8,3,未勝利*,ダ,1800,良,,長浜,53.0,△,5,14.1,6,1.2,7,14,14,11,10,39.15,39.8,3,タイセツナヒ
4,,8,アルティオーラ,牝,3,408,  0,0,14,319.3, , 89,12,55,,,小林脩斗,(美),浅利英明,ダノンプレミアム,パイロ,,ナスルーラ系,12,21,5中6,26,未勝利・牝*,芝,1800,重,,小林,55.0,,13,400.2,11,1.6,15,10,9,12,11,39.05,35.7,12,ロンギングセリーヌ
5,,9,ピンクサウスポー,牝,3,460,- 6,- 6,16,373.8, , 86,15,55,,*,石橋脩,(美),勢司和浩,エポカドーロ,クロフネ,,ニアークティック系,12,21,5中6,3,未勝利*,ダ,1800,不,,北村,55.0,,16,285.1,13,2.6,16,11,12,12,11,38.15,40.2,12,ヘルメスギャング
5,,10,ビーチイン,牝,3,420,-14,-14,11,76.1, , 94,9,55,,*,丹内祐次,(美),和田勇介,ダノンプレミアム,ロードカナロア,,,11,24,5東6,連,未勝利*,ダ,1600,良,,松若,55.0,,12,387.7,7,2.6,12,,,13,10,37.14,37.8,5,マクリール
6,,11,クイーンズホリデー,牝,3,486,+ 6,+ 6,7,34.0, , 94,9,52,▲,*,舟山瑠泉,(美),林徹,オルフェーヴル,キングカメハメハ,,ネイティヴダンサー系,12,6,5名1,8,未勝利・牝*,ダ,1400,良,,石神,52.0,▲,13,64.7,11,1.3,13,,,5,5,36.60,39.3,12,ダンシングドール
6,,12,イデアクリスタル,牝,3,472,- 6,- 6,3,3.7, ,118,2,55,,,横山和生,(美),小西一男,ホークビル,ダイワメジャー,,ロイヤルチャージャー系,12,28,5中8,3,未勝利*,ダ,1800,良,,横山,55.0,,4,11.5,2,0.1,5,16,16,4,2,38.80,39.4,1,タイセツナヒ
