レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026010506010201,2026.1.5,月,中山,1中2,1,,未勝利,ダート,1200,,2,稍,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ストライプブルー,牡,3,450,+12,+12,16,208.8, , 89,14,57,,*,岩部純二,(美),中川公成,ヴァンゴッホ,ディープインパクト,,ロイヤルチャージャー系,10,26,4東9,2,未勝利*,ダ,1400,不,,吉田,56.0,,12,89.8,13,3.0,4,,,2,3,36.75,39.5,14,エスシーレイジュ
1,,2,バル,牡,3,508,  0,0,10,35.3, ,103,3,57,,,柴田大知,(美),武市康男,マテラスカイ,スペシャルウィーク,,ロイヤルチャージャー系,12,14,5中4,初,新馬,ダ,1200,稍,,柴田,56.0,,12,96.9,4,1.1,8,,,7,8,36.20,38.1,5,ルクスポップスター
2,B,3,ジャガーライズ,牡,3,476,- 4,- 4,2,4.1, ,114,1,57,,,三浦皇成,(美),伊藤圭三,パイロ,ゴールドアリュール,ナスルーラ系,ロイヤルチャージャー系,12,20,5中5,5,未勝利*,ダ,1200,良,B,三浦,56.0,,1,2.5,4,0.7,1,,,4,4,34.60,38.6,7,シュピラー
2,,4,デアトゥノウ,牝,3,498,- 8,- 8,13,110.9, , 91,13,55,,*,黛弘人,(美),田島俊明,Daredevil,Congrats,,ナスルーラ系,11,16,3福4,5,未勝利*,ダ,1150,良,,松本,54.0,☆,7,29.7,15,4.1,7,,,9,14,36.00,39.9,15,ドナシェーン
3,,5,ヴァイオスペース,牡,3,460,+10,+10,3,5.9, , 97,9,57,,*,丹内祐次,(美),黒岩陽一,リオンディーズ,ダイワメジャー,,ロイヤルチャージャー系,11,9,5東2,16,未勝利*,芝,1400,良,,原優,56.0,,10,70.2,10,1.0,11,,,2,2,35.03,35.8,14,シャルトル
3,,6,サトノエスケープ,牡,3,486,+ 4,+ 4,1,2.9, ,114,1,57,,,横山武史,(美),久保田貴,ジャスタウェイ,"Adios Charlie",,,12,7,5中2,10,未勝利*,ダ,1200,良,,横山,56.0,,2,3.6,4,0.5,4,,,4,4,34.40,39.0,7,ドナソール
4,,7,ドリームガッサン,牝,3,432,  0,0,12,64.8, , 94,10,52,▲,*,小林美駒,(美),鈴木伸尋,キャプテンキング,エイシンフラッシュ,,,11,9,3福2,8,未勝利*,ダ,1150,良,,上里,52.0,▲,10,54.4,8,0.9,11,,,5,5,35.35,38.6,13,グラティアム
4,,8,エクスプレスナイト,牡,3,470,+ 2,+ 2,11,44.4, , 93,12,57,,,原優介,(美),青木孝文,アジアエクスプレス,ロードカナロア,,,11,2,4東B,3,未勝利*,ダ,1400,重,,原優,56.0,,11,168.8,10,2.4,12,,,5,6,36.08,38.3,12,ヘリテージブルーム
5,,9,フクノエルデ,セ,3,460,- 6,- 6,5,9.8, , 99,7,57,,,江田照男,(美),田中剛,スマートファルコン,ロードカナロア,ロイヤルチャージャー系,,12,14,5中4,24,未勝利*,ダ,1200,稍,,江田,56.0,,13,218.3,4,0.6,15,,,12,11,35.90,37.6,1,ヴェネチアンキング
