レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012406010801,2026.1.24,土,中山,1中8,1,,未勝利,ダート,1200,,2,良,晴,16,09:55,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シセイヒナタ,牝,3,420,,,13,278.0, ,  0,,55,,,吉田豊,(美),高橋文雅,ノヴェリスト,ケイムホーム,その他のエクリプス系,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
1,,2,アドミ,牝,3,448,- 6,- 6,2,4.2, ,120,1,55,,,菅原明良,(美),中川公成,アドマイヤマーズ,"Stormy Atlantic",,ニアークティック系,12,27,5中7,12,未勝利・牝*,ダ,1200,稍,,菅原,55.0,,2,4.0,2,0.1,6,,,5,4,34.50,38.1,4,コウジハラ
2,,3,ビアーレ,牝,3,406,- 6,- 6,9,67.2, , 98,11,55,,*,内田博幸,(美),林徹,ミスチヴィアスアレックス,カンパニー,,ナスルーラ系,11,24,5東6,初,新馬・牝,芝,1600,良,,佐々,55.0,,7,34.1,9,1.5,6,,,4,4,36.48,35.1,10,フェルミアーク
2,,4,ジョイアミーア,牝,3,460,+12,+12,3,4.8, ,112,2,55,,*,三浦皇成,(美),高柳瑞樹,モズアスコット,ネオユニヴァース,,ロイヤルチャージャー系,9,28,4中9,初,新馬,ダ,1200,良,,モレ,55.0,,1,2.4,4,0.8,2,,,7,6,35.90,37.5,3,サノノアルペン
3,,5,スカット,牝,3,450,+ 4,+ 4,10,71.6, ,110,5,52,▲,,上里直汰,(美),堀内岳志,ゴールドドリーム,ハーツクライ,,ロイヤルチャージャー系,1,12,1中5,初,新馬,ダ,1200,良,,上里,52.0,▲,6,11.8,3,0.5,10,,,8,8,36.80,37.6,2,スローモーション
3,,6,アイアンブランド,牝,3,420,  0,0,16,639.2, , 84,15,55,,*,丸田恭介,(美),南田美知,ビッグアーサー,ハーツクライ,,ロイヤルチャージャー系,12,28,5中8,11,未勝利*,芝,1200,良,,柴田,55.0,,15,315.2,13,1.9,9,,,14,13,35.20,35.8,13,ニシノセイドウ
4,,7,イヌボウノキラメキ,牝,3,472,- 2,- 2,6,39.0, , 96,12,55,,*,キング,(美),国枝栄,ドレフォン,ディープインパクト,,ロイヤルチャージャー系,12,28,5中8,4,未勝利*,ダ,1200,良,,北村,55.0,,9,42.4,7,1.0,8,,,14,13,35.90,38.2,3,ピュール
4,,8,ワンダーバリエンス,牝,3,468,- 8,- 8,15,506.2, , 89,13,55,,,柴田大知,(美),畠山吉宏,フィレンツェファイア,デヒア,,ニアークティック系,11,9,5東2,初,新馬,ダ,1600,稍,,柴田,55.0,,14,166.7,15,4.8,15,,,3,4,37.26,41.7,15,ピースサイン
5,,9,ローズオブジャパン,牝,3,438,- 4,- 4,4,8.3, ,110,5,55,,,松岡正海,(美),田中剛,パイロ,ディープインパクト,ナスルーラ系,ロイヤルチャージャー系,11,29,5東7,初,新馬,ダ,1400,良,,松岡,55.0,,5,13.7,3,1.1,3,,,1,1,36.53,38.3,7,オクトーバーナイン
5,,10,オニノウタゲ,牝,3,452,- 8,- 8,11,83.6, ,103,9,55,,*,木幡初也,(美),尾関知人,キセキ,ゴールドアリュール,,ロイヤルチャージャー系,11,16,5東4,初,新馬,芝,1600,良,,マー,55.0,,3,9.9,9,1.9,7,,,4,4,36.12,36.6,11,マテンロウネイビー
6,,11,トコシエノヒトミ,牝,3,408,- 4,- 4,5,14.1, ,112,2,53,△,,長浜鴻緒,(美),小笠倫弘,ゴールドドリーム,ディープブリランテ,,ロイヤルチャージャー系,12,27,5中7,3,未勝利・牝*,ダ,1200,稍,,長浜,53.0,△,4,7.1,3,0.4,5,,,7,6,34.90,38.0,3,コウジハラ
6,,12,ジュニアスウィート,牝,3,468,- 2,- 2,8,66.2, ,106,7,55,,,原優介,(美),小手川準,マジェスティックウォリアー,ハーツクライ,,ロイヤルチャージャー系,12,14,5中4,5,未勝利*,ダ,1200,稍,,原優,55.0,,3,12.8,6,0.8,3,,,8,8,35.10,38.6,5,ヴェネチアンキング
7,,13,マジョリカ,牝,3,438,- 2,- 2,14,476.2, , 86,14,52,▲,*,佐藤翔馬,(美),菊沢隆徳,リオンディーズ,アドマイヤベガ,,ロイヤルチャージャー系,11,30,5東8,初,新馬,ダ,1600,良,,菊沢,55.0,,14,102.3,15,9.9,11,,,4,8,37.20,47.2,16,エジプシャンマウ
7,,14,タヤスロレンヌ,牝,3,460,- 2,- 2,7,42.6, ,105,8,55,,,江田照男,(美),岩戸孝樹,タワーオブロンドン,ディープブリランテ,,ロイヤルチャージャー系,12,28,5中8,6,未勝利*,ダ,1200,良,,江田,55.0,,6,16.2,5,0.7,9,,,11,10,35.40,38.4,5,ピュール
8,,15,マイニオサラスタス,牝,3,388,- 2,- 2,12,271.3, ,101,10,52,▲,*,遠藤汰月,(美),石栗龍彦,オルフェーヴル,ロードカナロア,,,1,4,1中1,初,新馬,ダ,1200,稍,,長浜,53.0,△,10,71.4,5,2.1,15,,,5,4,36.10,39.2,7,エアサロメ
8,,16,ムーンブランシュ,牝,3,484,+ 6,+ 6,1,1.9, ,112,2,55,,,木幡巧也,(美),牧光二,ドレフォン,Paynter,,,1,12,1中5,11,未勝利,ダ,1200,良,,木幡,55.0,,9,79.1,2,0.1,14,,,5,5,35.40,37.5,1,アイスメルティング
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026012406010802,2026.1.24,土,中山,1中8,2,,未勝利,ダート,1800,,4,良,晴,16,10:25,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ビップマリク,セ,3,478,+ 2,+ 2,7,50.7, ,101,6,57,,,江田照男,(美),高柳瑞樹,インディチャンプ,ゼンノロブロイ,,ロイヤルチャージャー系,12,13,5中3,初,新馬,芝,1800,良,,江田,56.0,,3,7.9,11,2.1,10,5,7,6,7,37.25,36.1,11,ベンヴェヌータ
