レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026011806010701,2026.1.18,日,中山,1中7,1,,未勝利,ダート,1200,,2,良,晴,16,10:05,,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,イッツソーブライト,牡,3,542,- 2,- 2,16,558.9, , 86,14,57,,*,小林脩斗,(美),南田美知,ストーミーシー,トーセンホマレボシ,,ロイヤルチャージャー系,12,27,5中7,3,未勝利*,ダ,1200,稍,,嶋田,56.0,,15,565.5,15,3.5,8,,,9,11,35.00,40.2,14,パータリプトラ
1,,2,キタノトゥシャイン,牝,3,462,,,13,213.9, ,  0,,55,,,柴田大知,(美),粕谷昌央,アメリカンペイトリオット,ハーツクライ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,3,プラチナムディスク,牝,3,446,- 2,- 2,5,8.6, ,112,4,53,△,,長浜鴻緒,(美),小笠倫弘,ゴールドドリーム,アグネスデジタル,,ネイティヴダンサー系,1,4,1中1,3,未勝利・牝,ダ,1200,稍,,長浜,53.0,△,7,25.9,2,0.3,8,,,7,5,34.60,38.4,1,フュルスティン
2,,4,ヘイマー,牡,3,504,- 2,- 2,12,167.0, , 95,8,54,▲,*,遠藤汰月,(美),伊藤伸一,アドマイヤムーン,Dynaformer,ネイティヴダンサー系,ロイヤルチャージャー系,12,13,5中3,3,未勝利*,芝,1600,良,,菊沢,56.0,,14,518.2,8,1.2,12,,4,10,10,35.94,35.1,6,バルボアパーク
3,,5,グレイシエーション,牝,3,470,+ 2,+ 2,1,3.4, ,106,6,55,,*,杉原誠人,(美),栗田徹,モーリス,ダイワメジャー,,ロイヤルチャージャー系,11,2,4東B,初,新馬・牝,芝,1600,良,,レー,55.0,,4,5.9,6,0.8,3,,,1,1,35.52,35.2,12,モートンアイランド
3,,6,モーゲンセン,牡,3,518,- 2,- 2,3,4.5, ,114,2,57,,*,戸崎圭太,(美),斎藤誠,Mendelssohn,"Pioneerof the Nile",,ネイティヴダンサー系,12,28,5中8,12,未勝利*,ダ,1200,良,,マー,56.0,,3,4.7,3,0.5,2,,,6,5,34.60,39.0,6,ピュール
4,,7,ツクバヴァンガード,牡,3,478,+ 6,+ 6,4,5.7, ,107,5,57,,,内田博幸,(美),奥平雅士,リーチザクラウン,キャプテンスティーヴ,ロイヤルチャージャー系,その他のエクリプス系,9,28,4中9,初,新馬,ダ,1200,良,,内田,55.0,,7,19.2,3,0.7,9,,,2,2,35.30,38.0,6,サノノアルペン
4,,8,アルクノワール,牝,3,414,  0,0,14,275.2, , 84,15,55,,,木幡巧也,(美),牧光二,シルバーステート,"Dylan Thomas",,ニアークティック系,12,21,5中6,11,未勝利*,芝,1600,重,,木幡,55.0,,14,140.3,13,2.9,10,,9,10,13,35.76,37.9,13,ジッピーチューン
5,,9,ロット,牝,3,426,+ 4,+ 4,8,85.5, , 92,11,55,,*,嶋田純次,(美),本間忍,ダノンバラード,ゴールドアリュール,,ロイヤルチャージャー系,12,13,5中3,7,未勝利*,芝,1600,良,,内田,55.0,,9,78.3,11,1.6,7,,11,11,11,36.06,35.3,8,バルボアパーク
5,,10,マーガレットクレア,牝,3,444,+ 6,+ 6,6,13.1, ,104,7,55,,,原優介,(美),黒岩陽一,ミスチヴィアスアレックス,ディープブリランテ,,ロイヤルチャージャー系,12,27,5中7,9,未勝利*,ダ,1200,稍,,原優,55.0,,9,63.4,4,1.3,12,,,10,9,35.20,37.8,2,パータリプトラ
6,,11,リナシタ,牝,3,438,- 4,- 4,7,14.8, ,117,1,55,,,丹内祐次,(美),清水英克,ダノンスマッシュ,ディープインパクト,,ロイヤルチャージャー系,12,7,5中2,初,新馬,芝,1200,良,,丹内,55.0,,2,5.0,3,0.3,4,,,1,1,34.80,34.9,6,サムハラ
6,,12,クリオロゴールド,牡,3,436,  0,0,2,3.9, ,114,2,57,,,横山武史,(美),高柳瑞樹,ロードカナロア,オルフェーヴル,,,12,28,5中8,4,未勝利*,芝,1200,良,,横山,56.0,,3,4.4,3,0.2,5,,,6,6,34.10,35.2,4,ニシノセイドウ
7,,13,ネオアカジョウ,牡,3,500,+10,+10,11,139.0, , 92,11,57,,,横山和生,(美),小西一男,ダノンスマッシュ,クロフネ,,ニアークティック系,10,11,4東3,初,新馬,ダ,1400,稍,,横山,56.0,,10,42.4,16,5.8,6,,,4,4,37.05,41.8,16,ウィッキドピケット
7,B,14,ポルタシャーンス,牝,3,442,- 6,- 6,9,90.7, , 93,10,55,,*,武藤雅,(美),武藤善則,デクラレーションオブウォー,クロフネ,,ニアークティック系,12,20,5中5,5,未勝利*,ダ,1200,良,,舟山,52.0,▲,14,287.2,10,1.7,10,,,4,4,34.60,39.6,13,シュピラー
8,,15,ジャンプストリート,牡,3,434,+ 4,+ 4,15,303.2, , 94,9,57,,,松岡正海,(美),伊藤伸一,サトノジェネシス,タイキシャトル,,ロイヤルチャージャー系,10,26,4東9,2,未勝利*,芝,1600,稍,,松岡,56.0,,8,107.7,8,2.4,7,,,3,3,35.94,36.6,10,リゾートアイランド
