レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026013105010101,2026.1.31,土,東京,1東1,1,,未勝利,ダート,1400,,2,良,晴,16,10:05,牝,馬齢,３歳
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ニシノゲッパク,牝,3,460,-12,-12,8,77.2, , 93,11,55,,*,松岡正海,(美),伊藤伸一,セイウンコウセイ,クロフネ,,ニアークティック系,11,30,5東8,4,未勝利*,ダ,1400,良,,今村,53.0,◇,9,25.8,14,2.2,7,,,12,8,37.20,39.4,15,ヒナノムサシ
1,,2,マカイゾウ,牝,3,474,  0,0,4,6.3, ,115,2,55,,*,横山武史,(美),竹内正洋,フィレンツェファイア,フジキセキ,,ロイヤルチャージャー系,11,16,5東4,3,未勝利*,ダ,1400,良,,内田,55.0,,4,6.0,3,0.2,4,,,5,4,36.75,37.8,6,ランニングビーチ
2,,3,ドルマバフチェ,牝,3,422,+ 4,+ 4,5,15.2, ,109,4,55,,,ルメール,(美),千葉直人,"Palace Pier","Smart Strike",,ネイティヴダンサー系,11,24,5東6,3,未勝利*,芝,1400,良,,ルメ,55.0,,5,15.9,6,1.1,15,,,7,9,36.00,34.4,10,ミッキーダムール
2,,4,ギンケイ,牝,3,458,,,7,30.3, ,  0,,55,,,菅原明良,(美),中川公成,ルヴァンスレーヴ,サウスヴィグラス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,5,アンチェーン,牝,3,520,+ 2,+ 2,6,29.1, ,115,2,55,,,三浦皇成,(美),嘉藤貴行,ヘニーヒューズ,ダンカーク,,,1,4,1中1,初,新馬,ダ,1200,稍,,三浦,55.0,,2,3.4,3,2.0,2,,,3,5,35.80,39.4,9,エアサロメ
3,,6,アイアンロッキー,牝,3,448,,,16,444.0, ,  0,,52,▲,,佐藤翔馬,(美),本間忍,ディーマジェスティ,シンボリクリスエス,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,7,アルマサーガ,牝,3,394,+ 4,+ 4,14,346.5, , 97,8,52,▲,*,上里直汰,(美),中舘英二,ミッキーロケット,ダイワメジャー,,ロイヤルチャージャー系,11,24,5東6,初,新馬,芝,1400,良,,田口,55.0,,9,114.0,7,1.3,5,,,6,7,37.50,34.1,6,カフェラバー
4,,8,メビウスロマンス,牝,3,460,- 4,- 4,1,2.3, ,118,1,55,,*,戸崎圭太,(美),矢嶋大樹,ニューイヤーズデイ,ダイワメジャー,,ロイヤルチャージャー系,11,1,4東A,初,新馬,ダ,1400,不,,嶋田,55.0,,5,12.6,2,0.0,13,,,3,4,36.53,35.8,1,ビルバンテ
5,,9,ヨルヴィック,牝,3,452,- 8,- 8,2,4.0, ,109,4,55,,*,キング,(美),稲垣幸雄,ナダル,フレンチデピュティ,,ニアークティック系,11,23,5東5,初,新馬,ダ,1600,良,,戸崎,55.0,,4,7.3,6,1.2,12,,,2,2,36.96,38.4,10,フルミネブル
5,,10,クアロアランチ,牝,3,448,- 4,- 4,3,4.5, ,105,6,55,,*,ハマーハ,(美),西田雄一,ドレフォン,キングカメハメハ,,ネイティヴダンサー系,11,15,5東3,初,新馬・牝,芝,1600,良,,プー,55.0,,8,27.8,4,0.4,10,,,4,4,36.84,33.8,5,マスターソアラ
6,,11,ジェイドテソーロ,牝,3,436,+12,+12,12,200.7, , 95,10,55,,*,柴田大知,(美),千葉直人,サンダースノー,"Maclean's Music",,,11,16,5東4,2,未勝利・牝*,芝,1400,良,,木幡,55.0,,12,200.4,9,1.0,8,,,9,9,35.85,35.3,9,イヌボウノウタゴエ
6,,12,ラヴィングリー,牝,3,456,+22,+22,13,204.1, ,101,7,55,,,佐々木大,(美),池上昌和,クリソベリル,ディープインパクト,,ロイヤルチャージャー系,11,15,5東3,4,未勝利・牝*,ダ,1400,良,,佐々,55.0,,7,49.5,6,3.0,8,,,5,6,36.60,39.5,6,カセノアステリア
7,,13,アサクサダイアナ,牝,3,448,+10,+10,10,102.2, , 92,12,55,,*,岩田康誠,(美),田島俊明,マクフィ,ディープインパクト,,ロイヤルチャージャー系,11,15,5東3,初,新馬・牝,芝,1600,良,,戸崎,55.0,,12,134.4,9,1.7,7,,,7,7,37.02,34.8,10,マスターソアラ
7,,14,クラックアスマイル,牝,3,416,,,11,190.9, ,  0,,53,△,,長浜鴻緒,(美),田島俊明,マインドユアビスケッツ,"Ready's Image",,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
8,,15,レースクイーン,牝,3,420,+10,+10,9,78.1, , 97,8,55,,,江田照男,(美),蛯名利弘,フィレンツェファイア,ディープインパクト,,ロイヤルチャージャー系,1,4,1中1,12,未勝利・牝,ダ,1200,稍,,江田,55.0,,14,161.0,4,1.1,15,,,5,7,34.40,39.4,7,フュルスティン
8,,16,オルナータス,牝,3,496,,,15,356.0, ,  0,,55,,,原田和真,(美),上原博之,サトノダイヤモンド,"Kitten's Joy",,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026013105010102,2026.1.31,土,東京,1東1,2,,1勝,ダート,2100,,4,良,晴,16,10:35,,定量,４上
枠番,B,番,馬名S,性別,年齢,馬体重,増減,馬体重増減,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,アリステア,牡,4,488,- 4,- 4,12,42.1, ,106,7,57,,*,岩田康誠,(美),斎藤誠,キタサンブラック,ウォーエンブレム,,ネイティヴダンサー系,1,18,1中7,34,１勝ｸﾗｽ,ダ,1800,良,,斎藤,57.0,,4,17.1,8,1.5,9,3,3,5,4,38.70,39.7,11,リラゲイル
1,B,2,ヴェラグエリエロ,牡,6,464,+12,+12,5,14.6, ,104,8,56,△,*,長浜鴻緒,(美),辻哲英,レッドファルクス,ワイルドラッシュ,,ニアークティック系,11,23,5東5,2,１勝ｸﾗｽ,ダ,2100,良,B,石田,55.0,▲,11,25.8,3,0.6,8,2,2,2,2,38.28,37.5,9,タイキインドラ
2,B,3,ディズレーリ,セ,6,524,+12,+12,10,26.9, ,102,10,58,,*,佐々木大,(美),池上昌和,エピファネイア,Siyouni,,ニアークティック系,11,23,5東5,6,１勝ｸﾗｽ,ダ,2100,良,B,内田,58.0,,6,9.6,6,1.0,7,11,11,11,10,38.64,37.0,3,タイキインドラ
2,,4,ロードインフェルノ,牡,5,496,+ 8,+ 8,15,143.5, ,101,11,58,,*,田辺裕信,(美),尾形和幸,サトノアラジン,フレンチデピュティ,,ニアークティック系,1,18,1中7,連,１勝ｸﾗｽ,ダ,1800,良,,丹内,58.0,,8,79.2,11,1.6,5,8,8,1,1,38.50,40.2,12,リラゲイル
3,B,5,スマートクオーレ,牡,4,508,+ 4,+ 4,3,8.6, ,110,3,57,,,柴田大知,(美),粕谷昌央,オルフェーヴル,ファルブラヴ,,ニアークティック系,1,5,1中2,3,１勝ｸﾗｽ,ダ,2400,稍,B,柴田,57.0,,6,14.6,2,0.5,5,7,7,7,7,39.13,40.1,1,キャストロププ
3,B,6,カイトヴィント,牡,4,506,- 6,- 6,14,114.5, , 96,12,54,▲,*,上里直汰,(美),和田雄二,ルヴァンスレーヴ,キングカメハメハ,,ネイティヴダンサー系,1,5,1中2,3,１勝ｸﾗｽ,ダ,2400,稍,B,石神,54.0,▲,11,47.5,9,3.2,2,2,2,4,5,39.03,43.1,11,キャストロププ
4,,7,オウケンシルヴァー,牡,5,502,+ 6,+ 6,2,4.3, ,114,1,58,,,木幡育也,(美),松永康利,ニューイヤーズデイ,キャプテンスティーヴ,,その他のエクリプス系,12,14,5中4,3,１勝ｸﾗｽ,ダ,2500,稍,,木幡,58.0,,4,7.6,6,1.5,5,6,7,2,1,39.06,41.0,8,ダカラフェスティヴ
4,,8,セージグリーン,牝,5,488,+26,+26,16,169.2, , 95,13,56,,*,吉田豊,(美),菊川正達,ディーマジェスティ,クロフネ,,ニアークティック系,12,13,5名3,4,１勝ｸﾗｽ・牝,ダ,1800,良,,吉田,56.0,,11,39.5,9,1.4,6,11,12,12,12,38.80,37.6,7,カロローザ
5,,9,カサビセンス,牝,4,448,- 2,- 2,13,49.5,>, 84,16,55,,*,大野拓弥,(美),新開幸一,ブリックスアンドモルタル,"Dance Brightly",,ネイティヴダンサー系,12,3,笠松,3,Ｂ７組,ダ,1600,良,,望月,55.0,,1,,1,-0.4,,3,3,1,1,,----,,(ダブルブラック)
5,,10,カスバートテソーロ,牝,4,444,  0,0,7,16.1, ,108,6,55,,,横山武史,(美),畠山吉宏,ゴールドアクター,Shirocco,,その他のエクリプス系,1,12,1中5,3,１勝ｸﾗｽ・牝,ダ,1800,良,,横山,55.0,,3,7.3,10,3.4,9,7,7,7,4,38.35,40.5,11,フィールオーサム
6,B,11,カージオイド,牡,4,530,  0,0,1,2.8, ,109,4,57,,*,キング,(美),黒岩陽一,サトノダイヤモンド,"Sea The Stars",,ニアークティック系,1,4,1中1,9,１勝ｸﾗｽ,ダ,1800,稍,B,内田,57.0,,2,9.8,5,1.0,5,6,6,8,8,37.60,39.6,7,バタール
6,,12,マウントバーノン,牡,4,514,+ 6,+ 6,9,17.9, ,111,2,57,,,木幡巧也,(美),戸田博文,ルヴァンスレーヴ,クロフネ,,ニアークティック系,1,5,1中2,3,１勝ｸﾗｽ,ダ,2400,稍,,木幡,57.0,,3,10.0,6,2.0,3,4,4,4,5,39.07,41.8,5,キャストロププ
7,B,13,ヴァズレーヌ,牝,5,484,+14,+14,8,16.6, ,109,4,56,,*,菅原明良,(美),嘉藤貴行,フリオーソ,クロフネ,ロイヤルチャージャー系,ニアークティック系,10,18,4新1,17,１勝ｸﾗｽ・牝,ダ,1800,良,B,丹内,56.0,,3,5.3,6,0.9,1,7,6,4,4,37.60,39.3,7,シンボリノエル
7,B,14,ラントレイル,牡,4,470,+16,+16,4,9.7, ,103,9,57,,*,津村明秀,(美),牧光二,ホッコータルマエ,アグネスタキオン,,ロイヤルチャージャー系,11,16,5東4,2,１勝ｸﾗｽ,ダ,1600,良,B,木幡,57.0,,4,6.4,14,2.5,4,,,3,5,36.12,39.6,15,エーデル
8,,15,ナムラジミー,牡,4,490,+ 2,+ 2,6,15.5, , 93,14,57,,,丸田恭介,(美),武市康男,モーニン,クロフネ,,ニアークティック系,1,10,1中3,18,１勝ｸﾗｽ,ダ,1800,良,,丸田,57.0,,13,58.3,7,0.9,11,15,15,15,13,38.45,38.3,1,ニシノブレイゼスト
8,,16,ダブルメッセージ,牡,4,496,  0,0,11,29.9, , 92,15,57,,,石川裕紀,(美),和田正一,モーニン,ディープスカイ,,ロイヤルチャージャー系,12,14,5中4,4,１勝ｸﾗｽ,ダ,2500,稍,,石川,56.0,,8,24.1,12,5.2,11,2,2,9,11,39.35,43.8,10,ダカラフェスティヴ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
