レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040501,2026.9.19,土,中山,4中5,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,サリードゥ,牝,2,2,6.3, ,113,2,55,,,津村明秀,(美),鈴木伸尋,ダノンプレミアム,ヘニーヒューズ,,,7,18,2福7,3,未勝利*,芝,1200,良,,津村,55.0,,1,1.5,6,0.7,1,,,2,1,34.00,36.3,10,ショウナンハーヴェ
2,,2,ジンクピリチオン,牡,2,4,11.0, ,105,4,55,,,原優介,(美),奥平雅士,ビッグアーサー,ネオユニヴァース,,ロイヤルチャージャー系,7,5,2福4,初,新馬,芝,1200,良,,原優,55.0,,8,32.3,8,1.1,7,,,1,1,33.40,37.9,13,ピクニックマーチ
3,,3,ポッドエステラ,牡,2,8,54.1, , 91,7,55,,*,佐々木大,(美),伊藤圭三,クリソベリル,フリオーソ,,ロイヤルチャージャー系,6,14,3東4,初,新馬,ダ,1400,稍,,杉原,55.0,,14,221.5,10,4.3,10,,,7,8,36.15,40.7,12,ユイノエスポワール
4,,4,ソナタテソーロ,牝,2,5,27.9, , 96,5,55,,,木幡巧也,(美),牧光二,キセキ,スクリーンヒーロー,,ロイヤルチャージャー系,9,6,4中2,12,未勝利*,芝,1200,稍,,木幡,55.0,,10,41.8,12,1.2,14,,,4,4,35.10,36.4,13,セイウンリリーナ
5,,5,ルスデルカミーノ,牡,2,3,7.8, ,113,2,55,,,大野拓弥,(美),杉浦宏昭,ドレフォン,ロードカナロア,,,9,5,4中1,初,新馬,ダ,1200,重,,大野,55.0,,5,11.8,4,2.4,2,,,2,4,34.00,39.7,12,ポッドビート
6,,6,カシノカゲマル,セ,2,9,60.6, , 85,9,55,,*,原田和真,(美),蛯名利弘,ケープブランコ,アドマイヤムーン,,ネイティヴダンサー系,7,11,2小5,連,未勝利*,芝,1200,良,,秋山,55.0,,12,371.2,12,3.2,10,,,12,12,34.30,37.5,11,カレンハウ
7,,7,カンタベリートップ,牝,2,6,35.3, , 92,6,55,,,木幡初也,(美),石栗龍彦,リアルスティール,タニノギムレット,,ロイヤルチャージャー系,9,5,4中1,初,新馬,ダ,1200,重,,木幡,55.0,,11,129.9,11,3.1,13,,,9,9,36.00,38.4,8,ポッドビート
8,,8,マリノフスキー,牡,2,7,49.9, , 86,8,55,,,丸田恭介,(美),畠山吉宏,フィレンツェファイア,アドマイヤムーン,,ネイティヴダンサー系,9,5,4中1,初,新馬,ダ,1200,重,,丸田,55.0,,14,236.8,14,4.0,10,,,14,13,37.30,38.0,6,ポッドビート
8,,9,スマートブライド,牝,2,1,1.3, ,121,1,55,,*,ルメール,(美),加藤征弘,ヘニーヒューズ,ディープインパクト,,ロイヤルチャージャー系,8,8,2新5,初,新馬,ダ,1200,良,,菱田,55.0,,2,3.4,2,0.2,3,,,3,2,36.10,37.2,1,ジャスパートレノ
